,speaker,recording,t1,t2,phones,phone_dur,prev,nxt,prev_short,nxt_short,prev_height,nxt_height,prev_back,nxt_back,words,COG,SD,skew,kurtosis,age,gender,sexuality,race_ethnicity,SES,place_origin,L1s
14,S01,S01_interview.wav,83.45,83.56,S,0.10999999999999943,AH1,OW1,AH,OW,mid,mid,back,back,bus,5981.25030619969,2545.1991832872613,-0.5673240947213674,1.2228342325294088,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
15,S01,S01_interview.wav,87.66,87.77,S,0.10999999999999943,OW1,EH1,OW,EH,high,mid,back,front,seven,7143.625221975168,2534.6785402917035,-0.24486770543808034,2.068834403202634,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
16,S01,S01_interview.wav,98.27,98.41,S,0.14000000000000057,D,OW1,D,OW,consonant,mid,consonant,back,so,6982.724930564165,1834.1984827227234,-0.30357357068946894,6.237544436033222,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
17,S01,S01_interview.wav,101.67,101.77,S,0.09999999999999432,N,OW1,N,OW,consonant,mid,consonant,back,so,6112.308938502684,1986.71604267257,-0.48023558269462335,3.5975885842372683,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
18,S01,S01_interview.wav,105.2,105.33,S,0.12999999999999545,AE1,AY1,AE,AY,low,low,front,central,class,6111.394377202229,3223.5839994057756,-0.6789656532131401,-0.16099095969505406,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
19,S01,S01_interview.wav,109.22,109.33,S,0.10999999999999943,K,UW1,K,UW,consonant,mid,consonant,back,super,6307.626516260381,2149.1455920935705,-0.7279441033503017,1.7404574031580236,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
20,S01,S01_interview.wav,111.26,111.41,S,0.14999999999999147,T,OW1,T,OW,consonant,mid,consonant,back,so,6893.965215794855,1547.865478602385,-0.3983584828046664,8.994344755474351,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
21,S01,S01_interview.wav,114.6,114.75,S,0.15000000000000568,S,OW1,S,OW,consonant,mid,consonant,back,so,7364.157393957275,2225.672171676559,-1.085495307766046,3.7459933614994423,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
22,S01,S01_interview.wav,116.74,116.82,S,0.0799999999999983,IH2,AY1,IH,AY,high,low,front,central,decided,7144.419864856514,1537.382930232378,-1.2273482467014845,9.203702266008632,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
23,S01,S01_interview.wav,117.21,117.28,S,0.07000000000000739,AH0,W,AH,W,mid,consonant,back,consonant,sweater,5377.261020221117,3016.5671183566596,0.47634705424783036,0.9104834405899376,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
24,S01,S01_interview.wav,122.35,122.41,SH,0.060000000000002274,EH1,AH0,EH,AH,mid,mid,front,back,especially,3747.490218126993,1969.9401340296452,1.3364696894094996,6.617423773143001,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
25,S01,S01_interview.wav,124.38,124.54,S,0.1600000000000108,AE1,R,AE,R,low,consonant,front,consonant,classroom,5804.798223213063,1811.3032510761188,0.29780821240038347,3.9610661818322095,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
26,S01,S01_interview.wav,148.82,148.98,S,0.1599999999999966,NG,OW1,NG,OW,consonant,mid,consonant,back,so,1631.1208023750162,2338.1470166562735,1.7621158908037595,1.9353732767427676,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
27,S01,S01_interview.wav,152.15,152.27,S,0.12000000000000455,IY0,IH2,IY,IH,high,high,front,front,situation,6296.93227149122,3044.600931469493,-0.6316566088591204,0.367164580739912,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
28,S01,S01_interview.wav,152.51,152.57,SH,0.060000000000002274,EY1,AH0,EY,AH,high,mid,front,back,situation,3465.140521782668,2061.442475619018,0.9794005590851262,4.743938660353417,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
29,S01,S01_interview.wav,153.17,153.27,S,0.10000000000002274,T,IY1,T,IY,consonant,high,consonant,front,see,7168.573677774248,2307.3792132450485,-0.23980875846812016,3.379412439487843,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
30,S01,S01_interview.wav,154.11,154.18,S,0.06999999999999318,ER1,T,ER,T,mid,consonant,front,consonant,first,4777.345986114461,3164.6657232933835,-0.2226935516716742,-0.7186736110429477,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
31,S01,S01_interview.wav,171.92,171.97,S,0.05000000000001137,T,R,T,R,consonant,consonant,consonant,consonant,it's,5232.897818046939,3111.4703311293724,0.3365069889531908,-0.03250322506609615,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
32,S01,S01_interview.wav,175.22,175.28,S,0.060000000000002274,T,M,T,M,consonant,consonant,consonant,consonant,it's,7185.709412693612,4273.465212131348,0.4200264877589898,-0.38491650839873603,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
33,S01,S01_interview.wav,175.74,175.8,S,0.060000000000002274,EH1,T,EH,T,mid,consonant,front,consonant,semester,4862.460681178221,3034.967959982218,0.7840779569178404,2.6181152930927656,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
34,S01,S01_interview.wav,184.35,184.45,S,0.09999999999999432,L,OW0,L,OW,consonant,mid,consonant,back,also,6132.223337711655,2110.8981015731224,-0.289613664078505,3.2737576453589563,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
35,S01,S01_interview.wav,187.04,187.11,S,0.0700000000000216,F,HH,F,HH,consonant,consonant,consonant,consonant,profs,7365.3788172673785,1592.0589336637195,-0.14920242452303084,7.7802231629998335,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
36,S01,S01_interview.wav,187.64,187.7,S,0.060000000000002274,K,EH1,K,EH,consonant,mid,consonant,front,except,5418.834218714826,3194.9158550778725,-0.1453055171825558,-0.6940530277908366,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
37,S01,S01_interview.wav,190.09,190.26,S,0.1699999999999875,AH1,T,AH,T,mid,consonant,back,consonant,justin,4149.171859470543,3260.77810803337,0.64606707596543,-0.10459862378433105,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
38,S01,S01_interview.wav,192.71,192.77,S,0.060000000000002274,AE1,OW1,AE,OW,low,mid,front,back,so,6197.468897743226,2626.657771035398,-0.5850631597927527,1.545295853669236,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
39,S01,S01_interview.wav,193.98,194.06,S,0.0800000000000125,AH1,T,AH,T,mid,consonant,back,consonant,justin,6307.594191718419,3026.1616092223762,-0.5953056967962794,0.5905859354546878,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
40,S01,S01_interview.wav,205.17,205.29,S,0.12000000000000455,K,spn,K,sp,consonant,consonant,consonant,consonant,phonetics,7017.759784920795,2517.9738833796437,-0.5893688946917449,2.815073766636238,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
41,S01,S01_interview.wav,213.7,213.78,S,0.0800000000000125,AE1,IH0,AE,IH,low,high,front,front,class,2850.317614424734,3183.5056892630814,0.8362667867486366,-0.6510272787832734,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
42,S01,S01_interview.wav,214.06,214.14,SH,0.07999999999998408,K,AH0,K,AH,consonant,mid,consonant,back,actually,2806.627423896099,1550.4925592439438,3.0652195407540153,17.46560326030138,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
43,S01,S01_interview.wav,218.74,218.87,S,0.12999999999999545,L,IY1,L,IY,consonant,high,consonant,front,see,6977.156417166576,2524.752329118581,-0.8611047541994526,2.938569891250153,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
44,S01,S01_interview.wav,229.57,229.77,S,0.20000000000001705,EH1,R,EH,R,mid,consonant,front,consonant,yes,7042.347785974758,3129.9803764925714,-0.27581408077304026,2.2147509503391136,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
45,S01,S01_interview.wav,234.13,234.25,S,0.12000000000000455,T,AH1,T,AH,consonant,mid,consonant,back,it's,6288.484048790545,3451.758335410735,-0.30543497218254884,-0.15421983483334634,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
46,S01,S01_interview.wav,234.63,234.75,S,0.12000000000000455,M,OW1,M,OW,consonant,mid,consonant,back,so,6805.577697332151,2322.3176427754993,0.1903417127130972,4.503263202766547,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
47,S01,S01_interview.wav,236.97,237.04,S,0.06999999999999318,IH0,P,IH,P,high,consonant,front,consonant,hispanic,7177.645871402377,2372.9891092952093,0.022067314673828015,3.1427220457735245,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
48,S01,S01_interview.wav,241.16,241.21,S,0.05000000000001137,K,AH0,K,AH,consonant,mid,consonant,back,tracks,6745.259054091546,2016.245231448279,-0.8129829043504763,5.9218242899927755,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
49,S01,S01_interview.wav,242.11,242.18,S,0.06999999999999318,IH1,T,IH,T,high,consonant,front,consonant,linguistic,5513.769695691626,3334.3856952056058,-0.06903521345957732,-0.2964760944961551,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
50,S01,S01_interview.wav,242.85,242.92,S,0.06999999999999318,K,S,K,S,consonant,consonant,consonant,consonant,tracks,3542.2108768409653,2921.9575682103405,1.021682038754855,2.0821399208254414,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
51,S01,S01_interview.wav,243.26,243.38,S,0.12000000000000455,S,OW1,S,OW,consonant,mid,consonant,back,so,5442.141086640623,2798.6201168418092,-0.752039173851867,0.12532195585019235,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
52,S01,S01_interview.wav,248.1,248.38,S,0.28000000000000114,EH1,Y,EH,Y,mid,consonant,front,consonant,yes,5933.70014131966,3228.449688179314,-0.10916048804801136,0.24074163248686453,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
53,S01,S01_interview.wav,252.91,252.98,S,0.06999999999999318,M,EH1,M,EH,consonant,mid,consonant,front,himself,6946.280631092182,2191.7272678591166,-0.785345945125749,5.4872592257217505,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
54,S01,S01_interview.wav,260.79,260.87,SH,0.07999999999998408,EY1,AH0,EY,AH,high,mid,front,back,application,2575.0615369323928,2280.2629600919267,1.2271603153386885,2.6008469480391847,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
55,S01,S01_interview.wav,265.63,265.88,S,0.25,OW1,OW1,OW,OW,high,mid,back,back,so,7303.026904234943,1829.199200088701,1.1876596421850187,13.692227056703995,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
56,S01,S01_interview.wav,266.91,266.98,S,0.06999999999999318,IH1,T,IH,T,high,consonant,front,consonant,linguistics,6634.963241033891,2660.394746445987,-0.2585752977805887,2.4500058733539705,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
57,S01,S01_interview.wav,267.09,267.15,S,0.060000000000002274,K,IH0,K,IH,consonant,high,consonant,front,linguistics,6839.627452080352,1939.093460510558,0.12457031965951976,6.368556903399375,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
58,S01,S01_interview.wav,268.4,268.46,S,0.060000000000002274,IH0,T,IH,T,high,consonant,front,consonant,just,6521.276914949512,3061.4432519482293,-0.48100941184032364,0.671016107669054,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
59,S01,S01_interview.wav,269.2,269.25,S,0.05000000000001137,IH0,P,IH,P,high,consonant,front,consonant,this,6462.9482467326725,3029.613297773702,0.2947437066998904,1.665528297436433,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
60,S01,S01_interview.wav,275.26,275.34,S,0.07999999999998408,IH1,T,IH,T,high,consonant,front,consonant,linguistics,5879.433493211757,3758.0507312378472,-0.06708869702923063,-0.28541767947863095,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
61,S01,S01_interview.wav,275.59,275.84,S,0.25,K,AY1,K,AY,consonant,low,consonant,central,linguistics,6715.247811985714,2585.717565662752,-0.4504251619352139,2.6084665288504016,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
62,S01,S01_interview.wav,280.58,280.66,S,0.08000000000004093,IY1,P,IY,P,high,consonant,front,consonant,spoke,7352.8313827972825,2248.5288765689725,-0.36559882376965447,4.428997456561181,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
63,S01,S01_interview.wav,281.78,281.85,S,0.07000000000005002,ER0,AH1,ER,AH,mid,mid,front,back,something,5697.004742623117,3211.6224975664195,-0.4276761633922482,-0.30061148749759115,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
64,S01,S01_interview.wav,286.03,286.13,S,0.10000000000002274,IH1,T,IH,T,high,consonant,front,consonant,linguistics,6649.062840783717,3165.522302167145,-0.21663978944448142,0.7858653878143227,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
65,S01,S01_interview.wav,286.48,286.57,S,0.08999999999997499,K,B,K,B,consonant,consonant,consonant,consonant,linguistics,6584.0626387581,3178.5254104105097,-0.2652925275947934,1.0602845477222607,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
66,S01,S01_interview.wav,288.26,288.38,SH,0.12000000000000455,T,UH1,T,UH,consonant,high,consonant,back,sure,4148.689879270134,1900.228743770045,2.059356674448104,7.268892308761492,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
67,S01,S01_interview.wav,298.15,298.24,S,0.09000000000003183,R,AE1,R,AE,consonant,low,consonant,front,course,6249.705107529273,2041.2364208553172,-0.22588720863932935,5.247736132461721,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
68,S01,S01_interview.wav,302.44,302.54,S,0.10000000000002274,IH0,T,IH,T,high,consonant,front,consonant,just,7290.24898490943,1701.6424239332332,0.6810253620097076,8.356795065762473,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
69,S01,S01_interview.wav,303.75,303.82,SH,0.06999999999999318,N,UH1,N,UH,consonant,high,consonant,back,sure,4108.113571340145,2085.7865767044227,0.8252468524535396,1.3814555220549964,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
70,S01,S01_interview.wav,304.96,305.01,S,0.05000000000001137,K,AE1,K,AE,consonant,low,consonant,front,phonetics,6326.880824661732,2410.637046055084,-0.7740843598599929,1.8389697937418221,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
71,S01,S01_interview.wav,306.05,306.11,S,0.060000000000002274,AH1,T,AH,T,mid,consonant,back,consonant,just,4861.349586834982,2997.9610996924484,-0.1631909614191698,-0.505121492441801,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
72,S01,S01_interview.wav,309.61,309.8,SH,0.18999999999999773,EY1,IY1,EY,IY,high,high,front,front,she,4078.51393785655,1727.5322985790876,1.2467704626506455,3.017782845494917,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
73,S01,S01_interview.wav,311.51,311.57,S,0.060000000000002274,D,T,D,T,consonant,consonant,consonant,consonant,stuff,5283.278655946345,3444.014021426183,-0.11259483983656861,-0.6615135460093104,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
74,S01,S01_interview.wav,312.42,312.53,S,0.1099999999999568,F,OW1,F,OW,consonant,mid,consonant,back,so,7658.52251008913,1744.2154494124748,0.6656169751626501,9.696763610403263,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
75,S01,S01_interview.wav,313.39,313.51,S,0.12000000000000455,IH0,T,IH,T,high,consonant,front,consonant,just,7220.861113579534,2127.847429724178,0.0428940312084554,6.544750541651901,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
76,S01,S01_interview.wav,314.78,314.88,S,0.10000000000002274,ER0,OW1,ER,OW,mid,mid,front,back,so,6196.154351277398,2541.2024673232445,-0.7352091901482948,2.316717306142702,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
77,S01,S01_interview.wav,315.25,315.31,S,0.060000000000002274,IH0,T,IH,T,high,consonant,front,consonant,just,6130.595149672232,2834.866502050429,-1.0526278600703531,0.6637043783737719,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
78,S01,S01_interview.wav,315.34,315.39,S,0.05000000000001137,T,EH1,T,EH,consonant,mid,consonant,front,sent,5203.510070341194,3092.738955797618,-0.36239225005563974,-0.757394706918407,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
79,S01,S01_interview.wav,320.02,320.12,SH,0.10000000000002274,IH1,AH0,IH,AH,high,mid,front,back,positions,4099.270899324718,1562.7952427690186,1.452914493125785,10.551355782437906,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
80,S01,S01_interview.wav,331.08,331.19,SH,0.11000000000001364,IH1,AH0,IH,AH,high,mid,front,back,position,4321.813451653441,1993.498234211302,0.969243425487367,2.283458489887053,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
81,S01,S01_interview.wav,332.69,332.76,SH,0.06999999999999318,IH1,AH0,IH,AH,high,mid,front,back,position,2854.283628748907,2342.207576767379,1.078305610804688,1.9472679668997372,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
82,S01,S01_interview.wav,333.32,333.5,S,0.18000000000000682,ER1,T,ER,T,mid,consonant,front,consonant,first,7388.93394687321,1741.5213935668344,-0.07160689647306044,13.341300212778727,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
83,S01,S01_interview.wav,335.4,335.5,S,0.10000000000002274,AH0,AH1,AH,AH,mid,mid,back,back,summer,6194.628582905228,2536.446436443246,-1.1083810202521893,1.404193799790379,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
84,S01,S01_interview.wav,339.99,340.08,S,0.08999999999997499,AH0,B,AH,B,mid,consonant,back,consonant,goodness,7005.0157036558285,2087.8604356105125,-0.9514978001349415,6.744364863873473,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
85,S01,S01_interview.wav,343.28,343.39,SH,0.11000000000001364,D,IY1,D,IY,consonant,high,consonant,front,she's,4449.760281258955,2109.411392783369,1.1532132946081988,1.8290858131508818,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
86,S01,S01_interview.wav,345.64,345.8,SH,0.160000000000025,AH1,IY1,AH,IY,mid,high,back,front,she,4271.266817417214,1897.8118033269175,1.2074400972793369,2.277123931609042,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
87,S01,S01_interview.wav,347.83,347.96,SH,0.12999999999999545,AH1,IY1,AH,IY,mid,high,back,front,she,4681.727024180685,2304.425417949489,0.3935963327595704,0.009070374400481196,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
88,S01,S01_interview.wav,351.99,352.13,SH,0.13999999999998636,UW1,IY1,UW,IY,high,high,back,front,she,3087.3625484865224,1562.3675371717188,2.4552373149779796,8.782312022244275,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
89,S01,S01_interview.wav,354.56,354.66,S,0.10000000000002274,D,OW1,D,OW,consonant,mid,consonant,back,so,4926.666062002784,3235.736245238478,-0.19978745070650414,-0.8015997202006258,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
90,S01,S01_interview.wav,354.79,354.93,SH,0.13999999999998636,OW1,IY1,OW,IY,high,high,back,front,she's,4165.821681899668,2175.960244741838,0.7801637391512717,0.7393505600860353,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
91,S01,S01_interview.wav,355.84,355.93,S,0.09000000000003183,AH1,T,AH,T,mid,consonant,back,consonant,justin,6364.337984604616,2435.068953198811,-1.0791491118318746,2.2284835471975617,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
92,S01,S01_interview.wav,366.21,366.33,S,0.12000000000000455,AE1,OW1,AE,OW,low,mid,front,back,so,6904.263979893532,1448.0482337946908,1.2871273397566425,8.350846945474856,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
93,S01,S01_interview.wav,373.28,373.38,S,0.10000000000002274,D,OW1,D,OW,consonant,mid,consonant,back,so,7486.421744437418,1882.9017444550125,1.0344251307906551,4.418006273396844,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
94,S01,S01_interview.wav,373.92,374.12,S,0.19999999999998863,IH0,T,IH,T,high,consonant,front,consonant,just,7295.868033880107,1788.7355671259247,1.0847359995131176,5.011293917122341,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
95,S01,S01_interview.wav,377.66,377.8,S,0.13999999999998636,K,AE1,K,AE,consonant,low,consonant,front,phonetics,7110.827739844007,1750.376388093061,-0.31111853138914947,7.878402118906623,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
96,S01,S01_interview.wav,379.08,379.16,S,0.08000000000004093,IH1,T,IH,T,high,consonant,front,consonant,linguistics,6801.375637255964,2829.5835677230098,-0.6865633642194274,1.0326738769759434,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
97,S01,S01_interview.wav,379.36,379.42,S,0.060000000000002274,K,S,K,S,consonant,consonant,consonant,consonant,linguistics,6353.148509573772,2787.1553377882224,-0.35660268094389647,0.617069434151253,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
98,S01,S01_interview.wav,379.63,379.7,S,0.06999999999999318,AH0,IH1,AH,IH,mid,high,back,front,specifically,4458.345752161229,3140.9007861658292,0.006228559000140917,-0.8692829560262361,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
99,S01,S01_interview.wav,381.85,381.91,S,0.060000000000002274,EY1,IH0,EY,IH,high,high,front,front,basically,6093.808641352712,2672.006082984711,-1.1885647210105164,1.1253588634758218,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
100,S01,S01_interview.wav,384.26,384.41,SH,0.1500000000000341,IH0,AH1,IH,AH,high,mid,front,back,spanish,3370.5024413669207,2768.0048124613063,0.5457816623625175,-0.24613901681957095,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
101,S01,S01_interview.wav,388.01,388.07,S,0.060000000000002274,K,IH0,K,IH,consonant,high,consonant,front,lexicon,6779.308094866737,1639.995017479249,1.505787216750095,6.927729897959265,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
102,S01,S01_interview.wav,389.28,389.37,S,0.09000000000003183,UW1,P,UW,P,high,consonant,back,consonant,spanish,6587.04907121983,2558.5292420576498,0.33162097751257397,2.445888251312411,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
103,S01,S01_interview.wav,389.56,389.62,SH,0.060000000000002274,IH0,P,IH,P,high,consonant,front,consonant,spanish,2100.7143132971905,2369.70590880314,3.1237712136396913,12.94639583526044,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
104,S01,S01_interview.wav,391.25,391.39,S,0.13999999999998636,L,EY1,L,EY,consonant,high,consonant,front,say,7222.251145369716,2229.512304040413,-1.247653770583738,4.461092968729457,22,cisgender male,gay,"White, Latino",middle class,Seattle,"Spanish, English"
